Label,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
White alone,6.9233978220284484,7.185899072158861,7.42393573929985,7.620138135805632,7.96057180647847,8.245187247221281,8.372992239440066,8.623458885153468,8.637066626304943,8.68223129635777
Black or African American alone,-1.4925823438210557,-1.5113515827125212,-1.509922801498945,-1.48677166017589,-1.4445024905432717,-1.4399640327781924,-1.4147253180604622,-1.421583801462873,-1.375302976603976,-1.3778529546849683
American Indian and Alaska Native alone,0.7581346486311524,0.7510888805160154,0.7494233817368801,0.75445418715187,0.7611325580212531,0.7252980036805119,0.7552282331118025,0.7556439125651262,0.7664871367071018,0.7556900241445521
Asian alone,-1.0502426392275126,-1.0756419068284764,-1.1224703109571408,-1.1790465108098651,-1.2458352798113985,-1.310496379894694,-1.2697978271542851,-1.2918409137192661,-1.260097471729459,-1.2251920160264014
Hispanic or Latino (of any race),-5.635275253374175,-5.866518605812573,-6.037151090314907,-6.205799164101052,-6.490631051247391,-6.737102583411968,-6.895090810434638,-7.139223408761623,-7.24253451379586,-7.313977716880288
15 to 19 years,-0.04856331695275884,-0.05819264224444254,-0.04052872739629976,-0.04861170617070343,-0.012465413262674474,0.006788528480896616,-0.015014048747538311,-0.011846754357826228,0.004124572828857254,-0.012989895268894713
20 to 24 years,0.05524464265346296,0.051502651561015966,0.037046093558096516,0.08389687688455894,0.059555694897206024,0.057870767742578266,0.046182303662114066,0.049160410778917196,0.015571718641780308,0.029958954731476695
25 to 34 years,-0.09643770148383624,-0.0744607166708704,-0.08235274840745888,-0.09707305447841463,-0.1014591193084442,-0.1349582233061284,-0.16437438111135805,-0.18328421679123608,-0.19725388456008375,-0.1988849751232067
35 to 44 years,-0.33943868312189807,-0.3381664623681786,-0.3395271685060379,-0.3220801323975593,-0.3049918058434429,-0.29192754037829616,-0.2676250659499999,-0.25647005666219513,-0.23282659476183198,-0.20077977415078863
45 to 54 years,0.0707833311604702,0.012984246474090355,-0.028541402893523582,-0.08646148767192585,-0.13940918893626986,-0.1769734065807853,-0.1869593205206428,-0.2564949400412502,-0.23474108273713057,-0.26643751108039737
55 to 59 years,0.2029510589180532,0.19959774120378881,0.19939737557537285,0.16321651008991012,0.16874565266438424,0.17591838591878428,0.1623240600794702,0.14941476514649565,0.116407391609755,0.0828716708366315
60 to 64 years,0.15879071301894143,0.18863239569487789,0.20701660935986865,0.2256037837243312,0.21597488714960633,0.2103851051104897,0.22836260485269833,0.23465046567165615,0.2393016476375891,0.25269133687364587
65 to 74 years,0.13607498447985478,0.15270941828757145,0.15891967663863227,0.17820995326886901,0.20839719897932696,0.2278942097092198,0.2658542179509098,0.32318125292215427,0.36640696153144603,0.3829428680087119
75 to 84 years,0.053724534529514756,0.06878701054530367,0.06382847572862715,0.05997469664239574,0.06401864137982827,0.05264348765838278,0.04791934490217642,0.0746753459227385,0.08104724643836647,0.08798407352211157
Male,0.15646560200661952,0.12281048217164425,0.13807080239445213,0.15388398957384197,0.14941876672730814,0.14959202939223815,0.15275193331757464,0.14545957441470136,0.12351947352158277,0.12320949377777879
Female,-0.15646560200667636,-0.12281048217164425,-0.13807080239456582,-0.15388398957378513,-0.14941876672730814,-0.14959202939223815,-0.15275193331757464,-0.14545957441464452,-0.12351947352158277,-0.12320949377777879
