Label,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,White alone,6.923397822028448,7.185899072158861,7.42393573929985,7.620138135805632,7.96057180647847,8.245187247221281,8.372992239440066,8.623458885153468,8.637066626304943,8.68223129635777
1,Black or African American alone,-1.4925823438210557,-1.5113515827125212,-1.509922801498945,-1.48677166017589,-1.4445024905432715,-1.4399640327781924,-1.4147253180604622,-1.421583801462873,-1.375302976603976,-1.3778529546849685
2,American Indian and Alaska Native alone,0.7581346486311524,0.7510888805160154,0.7494233817368801,0.75445418715187,0.7611325580212531,0.7252980036805119,0.7552282331118025,0.7556439125651262,0.7664871367071018,0.7556900241445521
3,Asian alone,-1.0502426392275126,-1.0756419068284764,-1.1224703109571408,-1.1790465108098651,-1.2458352798113983,-1.310496379894694,-1.2697978271542851,-1.291840913719266,-1.260097471729459,-1.2251920160264014
4,Hispanic or Latino (of any race),-5.635275253374175,-5.866518605812573,-6.037151090314907,-6.205799164101052,-6.490631051247391,-6.737102583411968,-6.895090810434638,-7.139223408761623,-7.24253451379586,-7.313977716880288
